🎹 Launchkey MIDI Logger with Timestamp & Note Parsing Starting...
✅ MIDI interface claimed. Listening for input...
[1744831297525909 us] Raw: 0F F8 00 00  
[1744831297555736 us] Raw: 09 90 60 70  Note On - Note: 0x60 (96), Velocity: 0x70 (112)
[1744831297555910 us] Raw: 0F F8 00 00  
[1744831297585760 us] Raw: 0F F8 00 00  
[1744831297585911 us] Raw: 0F F8 00 00  
[1744831297615735 us] Raw: 0F F8 00 00  
[1744831297645764 us] Raw: 0F F8 00 00  
[1744831297645912 us] Raw: 0F F8 00 00  
[1744831297675736 us] Raw: 0F F8 00 00  
[1744831297705758 us] Raw: 0F F8 00 00  
[1744831297735759 us] Raw: 0F F8 00 00  
[1744831297735924 us] Raw: 08 80 60 00  
[1744831297735924 us] Raw: 0F F8 00 00  
[1744831297765735 us] Raw: 0F F8 00 00  
[1744831297795737 us] Raw: 0F F8 00 00  
[1744831297795911 us] Raw: 0F F8 00 00  
[1744831297825735 us] Raw: 0F F8 00 00  
[1744831297855734 us] Raw: 0F F8 00 00  
[1744831297855911 us] Raw: 0F F8 00 00  
[1744831297885728 us] Raw: 0F F8 00 00  
[1744831297915736 us] Raw: 0F F8 00 00  
[1744831297915924 us] Raw: 09 90 5F 76  Note On - Note: 0x5F (95), Velocity: 0x76 (118)
[1744831297915924 us] Raw: 0F F8 00 00  
[1744831297945736 us] Raw: 0F F8 00 00  
[1744831297975728 us] Raw: 0F F8 00 00  
[1744831298005736 us] Raw: 0F F8 00 00  
[1744831298005913 us] Raw: 0F F8 00 00  
[1744831298035729 us] Raw: 0F F8 00 00  
[1744831298065759 us] Raw: 0F F8 00 00  
[1744831298065914 us] Raw: 0F F8 00 00  
[1744831298095736 us] Raw: 08 80 5F 00  
[1744831298095913 us] Raw: 0F F8 00 00  
[1744831298125728 us] Raw: 0F F8 00 00  
[1744831298125914 us] Raw: 0F F8 00 00  
[1744831298155729 us] Raw: 0F F8 00 00  
[1744831298185728 us] Raw: 0F F8 00 00  
[1744831298215740 us] Raw: 0F F8 00 00  
[1744831298215915 us] Raw: 0F F8 00 00  
[1744831298245765 us] Raw: 0F F8 00 00  
[1744831298275739 us] Raw: 0F F8 00 00  
[1744831298275915 us] Raw: 0F F8 00 00  
[1744831298305728 us] Raw: 09 90 5E 79  Note On - Note: 0x5E (94), Velocity: 0x79 (121)
[1744831298305914 us] Raw: 0F F8 00 00  
[1744831298335729 us] Raw: 0F F8 00 00  
[1744831298335915 us] Raw: 0F F8 00 00  
[1744831298365728 us] Raw: 0F F8 00 00  
[1744831298395760 us] Raw: 0F F8 00 00  
[1744831298395917 us] Raw: 0F F8 00 00  
[1744831298425730 us] Raw: 0F F8 00 00  
[1744831298455729 us] Raw: 08 80 5E 00  
[1744831298455916 us] Raw: 0F F8 00 00  
[1744831298485728 us] Raw: 0F F8 00 00  
[1744831298485916 us] Raw: 0F F8 00 00  
[1744831298515728 us] Raw: 0F F8 00 00  
[1744831298545729 us] Raw: 0F F8 00 00  
[1744831298545916 us] Raw: 0F F8 00 00  
[1744831298575759 us] Raw: 0F F8 00 00  
[1744831298605732 us] Raw: 0F F8 00 00  
[1744831298605917 us] Raw: 0F F8 00 00  
[1744831298635759 us] Raw: 0F F8 00 00  
[1744831298665730 us] Raw: 09 90 5D 71  Note On - Note: 0x5D (93), Velocity: 0x71 (113)
[1744831298665929 us] Raw: 0F F8 00 00  
[1744831298665929 us] Raw: 0F F8 00 00  
[1744831298695731 us] Raw: 0F F8 00 00  
[1744831298725758 us] Raw: 0F F8 00 00  
[1744831298755732 us] Raw: 0F F8 00 00  
[1744831298755918 us] Raw: 0F F8 00 00  
[1744831298785729 us] Raw: 0F F8 00 00  
[1744831298785919 us] Raw: 08 80 5D 00  
[1744831298815759 us] Raw: 0F F8 00 00  
[1744831298815919 us] Raw: 0F F8 00 00  
[1744831298845729 us] Raw: 0F F8 00 00  
[1744831298875729 us] Raw: 0F F8 00 00  
[1744831298875918 us] Raw: 0F F8 00 00  
[1744831298905728 us] Raw: 0F F8 00 00  
[1744831298935731 us] Raw: 0F F8 00 00  
[1744831298965728 us] Raw: 0F F8 00 00  
[1744831298965920 us] Raw: 0F F8 00 00  
[1744831298995728 us] Raw: 0F F8 00 00  
[1744831299025729 us] Raw: 0F F8 00 00  
[1744831299025932 us] Raw: 09 90 5C 7F  Note On - Note: 0x5C (92), Velocity: 0x7F (127)
[1744831299025932 us] Raw: 0F F8 00 00  
[1744831299055758 us] Raw: 0F F8 00 00  
[1744831299085732 us] Raw: 0F F8 00 00  
[1744831299085921 us] Raw: 0F F8 00 00  
[1744831299115731 us] Raw: 0F F8 00 00  
[1744831299145728 us] Raw: 0F F8 00 00  
[1744831299145921 us] Raw: 0F F8 00 00  
[1744831299175758 us] Raw: 08 80 5C 00  
[1744831299175923 us] Raw: 0F F8 00 00  
[1744831299205758 us] Raw: 0F F8 00 00  
[1744831299235827 us] Raw: 0F F8 00 00  
[1744831299236048 us] Raw: 0F F8 00 00  
[1744831299265731 us] Raw: 0F F8 00 00  
[1744831299295761 us] Raw: 0F F8 00 00  
[1744831299295923 us] Raw: 0F F8 00 00  
[1744831299325774 us] Raw: 0F F8 00 00  
[1744831299355760 us] Raw: 0F F8 00 00  
[1744831299355937 us] Raw: 09 90 5B 6F  Note On - Note: 0x5B (91), Velocity: 0x6F (111)
[1744831299355937 us] Raw: 0F F8 00 00  
[1744831299385732 us] Raw: 0F F8 00 00  
[1744831299415759 us] Raw: 0F F8 00 00  
[1744831299415923 us] Raw: 0F F8 00 00  
[1744831299445732 us] Raw: 0F F8 00 00  
[1744831299475759 us] Raw: 0F F8 00 00  
[1744831299505757 us] Raw: 0F F8 00 00  
[1744831299505936 us] Raw: 08 80 5B 00  
[1744831299505936 us] Raw: 0F F8 00 00  
[1744831299535728 us] Raw: 0F F8 00 00  
[1744831299565729 us] Raw: 0F F8 00 00  
[1744831299565924 us] Raw: 0F F8 00 00  
[1744831299595759 us] Raw: 0F F8 00 00  
[1744831299625732 us] Raw: 0F F8 00 00  
[1744831299625926 us] Raw: 0F F8 00 00  
[1744831299655728 us] Raw: 0F F8 00 00  
[1744831299685728 us] Raw: 0F F8 00 00  
[1744831299685925 us] Raw: 09 90 5A 77  Note On - Note: 0x5A (90), Velocity: 0x77 (119)
[1744831299686050 us] Raw: 0F F8 00 00  
[1744831299715758 us] Raw: 0F F8 00 00  
[1744831299745728 us] Raw: 0F F8 00 00  
[1744831299775761 us] Raw: 0F F8 00 00  
[1744831299775927 us] Raw: 0F F8 00 00  
[1744831299805730 us] Raw: 0F F8 00 00  
[1744831299835757 us] Raw: 0F F8 00 00  
[1744831299835938 us] Raw: 0F F8 00 00  
[1744831299835938 us] Raw: 08 80 5A 00  
[1744831299865757 us] Raw: 0F F8 00 00  
[1744831299895756 us] Raw: 0F F8 00 00  
[1744831299895928 us] Raw: 0F F8 00 00  
[1744831299925732 us] Raw: 0F F8 00 00  
[1744831299955769 us] Raw: 0F F8 00 00  
[1744831299985730 us] Raw: 0F F8 00 00  
[1744831299985928 us] Raw: 0F F8 00 00  
[1744831300015729 us] Raw: 0F F8 00 00  
[1744831300015928 us] Raw: 09 90 59 6D  Note On - Note: 0x59 (89), Velocity: 0x6D (109)
[1744831300045758 us] Raw: 0F F8 00 00  
[1744831300045928 us] Raw: 0F F8 00 00  
[1744831300075729 us] Raw: 0F F8 00 00  
[1744831300105728 us] Raw: 0F F8 00 00  
[1744831300105928 us] Raw: 0F F8 00 00  
[1744831300135729 us] Raw: 0F F8 00 00  
[1744831300165733 us] Raw: 0F F8 00 00  
[1744831300165941 us] Raw: 08 80 59 00  
[1744831300165941 us] Raw: 0F F8 00 00  
[1744831300195728 us] Raw: 0F F8 00 00  
[1744831300225730 us] Raw: 0F F8 00 00  
[1744831300255729 us] Raw: 0F F8 00 00  
[1744831300255929 us] Raw: 0F F8 00 00  
[1744831300285765 us] Raw: 0F F8 00 00  
[1744831300315731 us] Raw: 0F F8 00 00  
[1744831300315930 us] Raw: 0F F8 00 00  
[1744831300345729 us] Raw: 0F F8 00 00  
[1744831300375732 us] Raw: 0F F8 00 00  
[1744831300375942 us] Raw: 09 90 58 73  Note On - Note: 0x58 (88), Velocity: 0x73 (115)
[1744831300375942 us] Raw: 0F F8 00 00  
[1744831300405760 us] Raw: 0F F8 00 00  
[1744831300435730 us] Raw: 0F F8 00 00  
[1744831300435931 us] Raw: 0F F8 00 00  
[1744831300465760 us] Raw: 0F F8 00 00  
[1744831300495731 us] Raw: 0F F8 00 00  
[1744831300525729 us] Raw: 0F F8 00 00  
[1744831300525943 us] Raw: 08 80 58 00  
[1744831300525943 us] Raw: 0F F8 00 00  
[1744831300555729 us] Raw: 0F F8 00 00  
[1744831300585728 us] Raw: 0F F8 00 00  
[1744831300585931 us] Raw: 0F F8 00 00  
[1744831300615728 us] Raw: 0F F8 00 00  
[1744831300645728 us] Raw: 0F F8 00 00  
[1744831300645932 us] Raw: 0F F8 00 00  
[1744831300675748 us] Raw: 0F F8 00 00  
[1744831300705729 us] Raw: 0F F8 00 00  
[1744831300735728 us] Raw: 0F F8 00 00  
[1744831300735818 us] Raw: 09 90 57 7F  Note On - Note: 0x57 (87), Velocity: 0x7F (127)
[1744831300735818 us] Raw: 0F F8 00 00  
[1744831300765759 us] Raw: 0F F8 00 00  
[1744831300795730 us] Raw: 0F F8 00 00  
[1744831300795933 us] Raw: 0F F8 00 00  
[1744831300825729 us] Raw: 0F F8 00 00  
[1744831300855729 us] Raw: 0F F8 00 00  
[1744831300855938 us] Raw: 0F F8 00 00  
[1744831300885762 us] Raw: 0F F8 00 00  
[1744831300885935 us] Raw: 08 80 57 00  
[1744831300915730 us] Raw: 0F F8 00 00  
[1744831300915935 us] Raw: 0F F8 00 00  
[1744831300945730 us] Raw: 0F F8 00 00  
[1744831300975728 us] Raw: 0F F8 00 00  
[1744831301005730 us] Raw: 0F F8 00 00  
[1744831301005810 us] Raw: 0F F8 00 00  
[1744831301035728 us] Raw: 0F F8 00 00  
[1744831301065729 us] Raw: 0F F8 00 00  
[1744831301065819 us] Raw: 0F F8 00 00  
[1744831301065819 us] Raw: 09 90 56 71  Note On - Note: 0x56 (86), Velocity: 0x71 (113)
[1744831301095729 us] Raw: 0F F8 00 00  
[1744831301125728 us] Raw: 0F F8 00 00  
[1744831301125809 us] Raw: 0F F8 00 00  
[1744831301155729 us] Raw: 0F F8 00 00  
[1744831301185729 us] Raw: 0F F8 00 00  
[1744831301185808 us] Raw: 0F F8 00 00  
[1744831301215730 us] Raw: 08 80 56 00  
[1744831301215811 us] Raw: 0F F8 00 00  
[1744831301245728 us] Raw: 0F F8 00 00  
[1744831301275751 us] Raw: 0F F8 00 00  
[1744831301275938 us] Raw: 0F F8 00 00  
[1744831301305751 us] Raw: 0F F8 00 00  
[1744831301335733 us] Raw: 0F F8 00 00  
[1744831301335937 us] Raw: 0F F8 00 00  
[1744831301365764 us] Raw: 0F F8 00 00  
[1744831301395777 us] Raw: 0F F8 00 00  
[1744831301395952 us] Raw: 09 90 55 7F  Note On - Note: 0x55 (85), Velocity: 0x7F (127)
[1744831301395952 us] Raw: 0F F8 00 00  
[1744831301425763 us] Raw: 0F F8 00 00  
[1744831301455761 us] Raw: 0F F8 00 00  
[1744831301485753 us] Raw: 0F F8 00 00  
[1744831301485939 us] Raw: 0F F8 00 00  
[1744831301515751 us] Raw: 0F F8 00 00  
[1744831301515939 us] Raw: 08 80 55 00  
[1744831301545782 us] Raw: 0F F8 00 00  
[1744831301545940 us] Raw: 0F F8 00 00  
[1744831301575750 us] Raw: 0F F8 00 00  
[1744831301605729 us] Raw: 0F F8 00 00  
[1744831301605810 us] Raw: 0F F8 00 00  
[1744831301635752 us] Raw: 0F F8 00 00  
[1744831301665730 us] Raw: 0F F8 00 00  
[1744831301665810 us] Raw: 0F F8 00 00  
[1744831301695728 us] Raw: 0F F8 00 00  
[1744831301725732 us] Raw: 09 90 54 73  Note On - Note: 0x54 (84), Velocity: 0x73 (115)
[1744831301725816 us] Raw: 0F F8 00 00  
[1744831301755730 us] Raw: 0F F8 00 00  
[1744831301755810 us] Raw: 0F F8 00 00  
[1744831301785752 us] Raw: 0F F8 00 00  
[1744831301815730 us] Raw: 0F F8 00 00  
[1744831301815811 us] Raw: 0F F8 00 00  
[1744831301845749 us] Raw: 0F F8 00 00  
[1744831301875750 us] Raw: 0F F8 00 00  
[1744831301875954 us] Raw: 08 80 54 00  
[1744831301875954 us] Raw: 0F F8 00 00  
[1744831301905729 us] Raw: 0F F8 00 00  
[1744831301935731 us] Raw: 0F F8 00 00  
[1744831301935812 us] Raw: 0F F8 00 00  
[1744831301965729 us] Raw: 0F F8 00 00  
[1744831301995729 us] Raw: 0F F8 00 00  
[1744831302025728 us] Raw: 0F F8 00 00  
[1744831302025809 us] Raw: 0F F8 00 00  
[1744831302055749 us] Raw: 0F F8 00 00  
[1744831302055946 us] Raw: 09 90 53 65  Note On - Note: 0x53 (83), Velocity: 0x65 (101)
[1744831302085745 us] Raw: 0F F8 00 00  
[1744831302085945 us] Raw: 0F F8 00 00  
[1744831302115731 us] Raw: 0F F8 00 00  
[1744831302145773 us] Raw: 0F F8 00 00  
[1744831302145945 us] Raw: 0F F8 00 00  
[1744831302175733 us] Raw: 0F F8 00 00  
[1744831302205730 us] Raw: 08 80 53 00  
[1744831302205811 us] Raw: 0F F8 00 00  
[1744831302235729 us] Raw: 0F F8 00 00  
[1744831302235817 us] Raw: 0F F8 00 00  
[1744831302265733 us] Raw: 0F F8 00 00  
[1744831302295729 us] Raw: 0F F8 00 00  
[1744831302295812 us] Raw: 0F F8 00 00  
[1744831302325758 us] Raw: 0F F8 00 00  
[1744831302355803 us] Raw: 0F F8 00 00  
[1744831302355947 us] Raw: 0F F8 00 00  
[1744831302385730 us] Raw: 09 90 52 6A  Note On - Note: 0x52 (82), Velocity: 0x6A (106)
[1744831302385815 us] Raw: 0F F8 00 00  
[1744831302415755 us] Raw: 0F F8 00 00  
[1744831302415947 us] Raw: 0F F8 00 00  
[1744831302445752 us] Raw: 0F F8 00 00  
[1744831302475730 us] Raw: 0F F8 00 00  
[1744831302505729 us] Raw: 0F F8 00 00  
[1744831302505838 us] Raw: 0F F8 00 00  
[1744831302505838 us] Raw: 08 80 52 00  
[1744831302535729 us] Raw: 0F F8 00 00  
[1744831302565728 us] Raw: 0F F8 00 00  
[1744831302565827 us] Raw: 0F F8 00 00  
[1744831302595733 us] Raw: 0F F8 00 00  
[1744831302625729 us] Raw: 0F F8 00 00  
[1744831302625828 us] Raw: 0F F8 00 00  
[1744831302655728 us] Raw: 0F F8 00 00  
[1744831302685737 us] Raw: 0F F8 00 00  
[1744831302685821 us] Raw: 0F F8 00 00  
[1744831302715729 us] Raw: 09 90 51 65  Note On - Note: 0x51 (81), Velocity: 0x65 (101)
[1744831302715822 us] Raw: 0F F8 00 00  
[1744831302745728 us] Raw: 0F F8 00 00  
[1744831302775728 us] Raw: 0F F8 00 00  
[1744831302775828 us] Raw: 0F F8 00 00  
[1744831302805753 us] Raw: 0F F8 00 00  
[1744831302835730 us] Raw: 0F F8 00 00  
[1744831302835840 us] Raw: 0F F8 00 00  
[1744831302835840 us] Raw: 08 80 51 00  
[1744831302865728 us] Raw: 0F F8 00 00  
[1744831302895728 us] Raw: 0F F8 00 00  
[1744831302895827 us] Raw: 0F F8 00 00  
[1744831302925753 us] Raw: 0F F8 00 00  
[1744831302955731 us] Raw: 0F F8 00 00  
[1744831302985729 us] Raw: 0F F8 00 00  
[1744831302985848 us] Raw: 0F F8 00 00  
[1744831303015728 us] Raw: 0F F8 00 00  
[1744831303045728 us] Raw: 0F F8 00 00  
[1744831303045838 us] Raw: 0F F8 00 00  
[1744831303045838 us] Raw: 09 90 50 7F  Note On - Note: 0x50 (80), Velocity: 0x7F (127)
[1744831303075750 us] Raw: 0F F8 00 00  
[1744831303105729 us] Raw: 0F F8 00 00  
[1744831303105829 us] Raw: 0F F8 00 00  
[1744831303135728 us] Raw: 0F F8 00 00  
[1744831303165728 us] Raw: 0F F8 00 00  
[1744831303165828 us] Raw: 0F F8 00 00  
[1744831303195729 us] Raw: 0F F8 00 00  
[1744831303225728 us] Raw: 08 80 50 00  
[1744831303225827 us] Raw: 0F F8 00 00  
[1744831303255728 us] Raw: 0F F8 00 00  
[1744831303255828 us] Raw: 0F F8 00 00  
[1744831303285732 us] Raw: 0F F8 00 00  
[1744831303315752 us] Raw: 0F F8 00 00  
[1744831303315953 us] Raw: 0F F8 00 00  
[1744831303345750 us] Raw: 0F F8 00 00  
[1744831303375756 us] Raw: 0F F8 00 00  
[1744831303375965 us] Raw: 09 90 4F 71  Note On - Note: 0x4F (79), Velocity: 0x71 (113)
[1744831303375965 us] Raw: 0F F8 00 00  
[1744831303405757 us] Raw: 0F F8 00 00  
[1744831303435758 us] Raw: 0F F8 00 00  
[1744831303435954 us] Raw: 0F F8 00 00  
[1744831303465752 us] Raw: 0F F8 00 00  
[1744831303495752 us] Raw: 0F F8 00 00  
[1744831303525730 us] Raw: 0F F8 00 00  
[1744831303525841 us] Raw: 08 80 4F 00  
[1744831303525841 us] Raw: 0F F8 00 00  
[1744831303555728 us] Raw: 0F F8 00 00  
[1744831303585728 us] Raw: 0F F8 00 00  
[1744831303585828 us] Raw: 0F F8 00 00  
[1744831303615729 us] Raw: 0F F8 00 00  
[1744831303645727 us] Raw: 0F F8 00 00  
[1744831303645830 us] Raw: 0F F8 00 00  
[1744831303675750 us] Raw: 0F F8 00 00  
[1744831303705729 us] Raw: 0F F8 00 00  
[1744831303735730 us] Raw: 0F F8 00 00  
[1744831303735843 us] Raw: 09 90 4E 79  Note On - Note: 0x4E (78), Velocity: 0x79 (121)
[1744831303735843 us] Raw: 0F F8 00 00  
[1744831303765728 us] Raw: 0F F8 00 00  
[1744831303795729 us] Raw: 0F F8 00 00  
[1744831303795831 us] Raw: 0F F8 00 00  
[1744831303825753 us] Raw: 0F F8 00 00  
[1744831303855751 us] Raw: 08 80 4E 00  
[1744831303855967 us] Raw: 0F F8 00 00  
[1744831303855967 us] Raw: 0F F8 00 00  
[1744831303885756 us] Raw: 0F F8 00 00  
[1744831303915749 us] Raw: 0F F8 00 00  
[1744831303915831 us] Raw: 0F F8 00 00  
[1744831303945730 us] Raw: 0F F8 00 00  
[1744831303975729 us] Raw: 0F F8 00 00  
[1744831304005730 us] Raw: 0F F8 00 00  
[1744831304005844 us] Raw: 0F F8 00 00  
[1744831304005844 us] Raw: 09 90 4D 68  Note On - Note: 0x4D (77), Velocity: 0x68 (104)
[1744831304035728 us] Raw: 0F F8 00 00  
[1744831304065752 us] Raw: 0F F8 00 00  
[1744831304065834 us] Raw: 0F F8 00 00  
[1744831304095730 us] Raw: 0F F8 00 00  
[1744831304125728 us] Raw: 0F F8 00 00  
[1744831304125844 us] Raw: 0F F8 00 00  
[1744831304125844 us] Raw: 08 80 4D 00  
[1744831304155729 us] Raw: 0F F8 00 00  
[1744831304185729 us] Raw: 0F F8 00 00  
[1744831304185834 us] Raw: 0F F8 00 00  
[1744831304215729 us] Raw: 0F F8 00 00  
[1744831304245728 us] Raw: 0F F8 00 00  
[1744831304275728 us] Raw: 0F F8 00 00  
[1744831304275834 us] Raw: 0F F8 00 00  
[1744831304305732 us] Raw: 0F F8 00 00  
[1744831304335728 us] Raw: 09 90 4C 6C  Note On - Note: 0x4C (76), Velocity: 0x6C (108)
[1744831304335975 us] Raw: 0F F8 00 00  
[1744831304335975 us] Raw: 0F F8 00 00  
[1744831304365754 us] Raw: 0F F8 00 00  
[1744831304395729 us] Raw: 0F F8 00 00  
[1744831304395836 us] Raw: 0F F8 00 00  
[1744831304425728 us] Raw: 0F F8 00 00  
[1744831304455755 us] Raw: 0F F8 00 00  
[1744831304455961 us] Raw: 08 80 4C 00  
[1744831304485730 us] Raw: 0F F8 00 00  
[1744831304485836 us] Raw: 0F F8 00 00  
[1744831304515729 us] Raw: 0F F8 00 00  
[1744831304545729 us] Raw: 0F F8 00 00  
[1744831304545836 us] Raw: 0F F8 00 00  
[1744831304575729 us] Raw: 0F F8 00 00  
[1744831304605728 us] Raw: 0F F8 00 00  
[1744831304605837 us] Raw: 0F F8 00 00  
[1744831304635750 us] Raw: 0F F8 00 00  
[1744831304635833 us] Raw: 09 90 4B 6C  Note On - Note: 0x4B (75), Velocity: 0x6C (108)
[1744831304665729 us] Raw: 0F F8 00 00  
[1744831304665838 us] Raw: 0F F8 00 00  
[1744831304695751 us] Raw: 0F F8 00 00  
[1744831304725730 us] Raw: 0F F8 00 00  
[1744831304755729 us] Raw: 0F F8 00 00  
[1744831304755838 us] Raw: 0F F8 00 00  
[1744831304785728 us] Raw: 0F F8 00 00  
[1744831304785839 us] Raw: 08 80 4B 00  
[1744831304815728 us] Raw: 0F F8 00 00  
[1744831304815838 us] Raw: 0F F8 00 00  
[1744831304845753 us] Raw: 0F F8 00 00  
[1744831304875730 us] Raw: 0F F8 00 00  
[1744831304875839 us] Raw: 0F F8 00 00  
[1744831304905729 us] Raw: 0F F8 00 00  
[1744831304935730 us] Raw: 0F F8 00 00  
[1744831304935840 us] Raw: 0F F8 00 00  
[1744831304965728 us] Raw: 0F F8 00 00  
[1744831304995941 us] Raw: 09 90 4A 69  Note On - Note: 0x4A (74), Velocity: 0x69 (105)
[1744831304996095 us] Raw: 0F F8 00 00  
[1744831305025735 us] Raw: 0F F8 00 00  
[1744831305025842 us] Raw: 0F F8 00 00  
[1744831305055729 us] Raw: 0F F8 00 00  
[1744831305085729 us] Raw: 0F F8 00 00  
[1744831305085841 us] Raw: 0F F8 00 00  
[1744831305115730 us] Raw: 08 80 4A 00  
[1744831305115840 us] Raw: 0F F8 00 00  
[1744831305145728 us] Raw: 0F F8 00 00  
[1744831305145841 us] Raw: 0F F8 00 00  
[1744831305175728 us] Raw: 0F F8 00 00  
[1744831305205728 us] Raw: 0F F8 00 00  
[1744831305235729 us] Raw: 0F F8 00 00  
[1744831305235842 us] Raw: 0F F8 00 00  
[1744831305265728 us] Raw: 0F F8 00 00  
[1744831305295731 us] Raw: 0F F8 00 00  
[1744831305295842 us] Raw: 0F F8 00 00  
[1744831305325728 us] Raw: 0F F8 00 00  
[1744831305355759 us] Raw: 0F F8 00 00  
[1744831305355842 us] Raw: 0F F8 00 00  
